"number","common","name","abbreviation","hemisphere","lobe","cortex","bilateral","ants6"
4,1,"3rd ventricle",NA,NA,"ventricle",0,NA,1
11,1,"4th ventricle",NA,NA,"ventricle",0,NA,1
23,1,"accumbens area",NA,"right","subcortical",0,NA,4
30,1,"accumbens area",NA,"left","subcortical",0,NA,4
31,1,"amygdala",NA,"right","subcortical",0,NA,4
32,1,"amygdala",NA,"left","subcortical",0,NA,4
35,1,"brain stem",NA,NA,"subcortical",0,NA,5
36,1,"caudate",NA,"right","subcortical",0,NA,4
37,1,"caudate",NA,"left","subcortical",0,NA,4
38,1,"cerebellum exterior",NA,"right","cerebellum",0,NA,6
39,1,"cerebellum exterior",NA,"left","cerebellum",0,NA,6
40,1,"cerebellum white matter",NA,"right","cerebellum",0,NA,6
41,1,"cerebellum white matter",NA,"left","cerebellum",0,NA,6
44,1,"cerebral white matter",NA,"right",NA,0,NA,3
45,1,"cerebral white matter",NA,"left",NA,0,NA,3
46,1,"csf",NA,NA,NA,0,NA,1
47,1,"hippocampus",NA,"right","subcortical",0,NA,4
48,1,"hippocampus",NA,"left","subcortical",0,NA,4
49,1,"inf lat vent",NA,"right","ventricle",0,NA,1
50,1,"inf lat vent",NA,"left","ventricle",0,NA,1
51,1,"lateral ventricle",NA,"right","ventricle",0,NA,1
52,1,"lateral ventricle",NA,"left","ventricle",0,NA,1
55,1,"pallidum",NA,"right","subcortical",0,NA,4
56,1,"pallidum",NA,"left","subcortical",0,NA,4
57,1,"putamen",NA,"right","subcortical",0,NA,4
58,1,"putamen",NA,"left","subcortical",0,NA,4
59,1,"thalamus proper",NA,"right","subcortical",0,NA,4
60,1,"thalamus proper",NA,"left","subcortical",0,NA,4
61,1,"ventral dc",NA,"right","subcortical",0,NA,4
62,1,"ventral dc",NA,"left","subcortical",0,NA,4
69,1,"optic chiasm",NA,NA,NA,0,NA,0
71,1,"cerebellar vermal lobules i-v",NA,NA,"cerebellum",0,NA,6
72,1,"cerebellar vermal lobules vi-vii",NA,NA,"cerebellum",0,NA,6
73,1,"cerebellar vermal lobules viii-x",NA,NA,"cerebellum",0,NA,6
75,1,"basal forebrain",NA,"left","subcortical",0,NA,4
76,1,"basal forebrain",NA,"right","subcortical",0,NA,4
100,1,"anterior cingulate gyrus","ACgG","right","limbic",1,1,2
101,1,"anterior cingulate gyrus","ACgG","left","limbic",1,1,2
102,1,"anterior insula","Alns","right","insular",1,2,2
103,1,"anterior insula","Alns","left","insular",1,2,2
104,1,"anterior orbital gyrus","AOrG","right","frontal",1,3,2
105,1,"anterior orbital gyrus","AOrG","left","frontal",1,3,2
106,1,"angular gyrus","AnG","right","parietal",1,4,2
107,1,"angular gyrus","AnG","left","parietal",1,4,2
108,1,"calcarine cortex","Calc","right","occipital",1,5,2
109,1,"calcarine cortex","Calc","left","occipital",1,5,2
112,1,"central operculum","CO","right","frontal",1,6,2
113,1,"central operculum","CO","left","frontal",1,6,2
114,1,"cuneus","Cun","right","occipital",1,7,2
115,1,"cuneus","Cun","left","occipital",1,7,2
116,1,"entorhinal area","Ent","right","limbic",1,8,2
117,1,"entorhinal area","Ent","left","limbic",1,8,2
118,1,"frontal operculum","FO","right","frontal",1,9,2
119,1,"frontal operculum","FO","left","frontal",1,9,2
120,1,"frontal pole","FRP","right","frontal",1,10,2
121,1,"frontal pole","FRP","left","frontal",1,10,2
122,1,"fusiform gyrus","FuG","right","temporal",1,11,2
123,1,"fusiform gyrus","FuG","left","temporal",1,11,2
124,1,"gyrus rectus","GRe","right","frontal",1,12,2
125,1,"gyrus rectus","GRe","left","frontal",1,12,2
128,1,"inferior occipital gyrus","IOG","right","occipital",1,13,2
129,1,"inferior occipital gyrus","IOG","left","occipital",1,13,2
132,1,"inferior temporal gyrus","ITG","right","temporal",1,14,2
133,1,"inferior temporal gyrus","ITG","left","temporal",1,14,2
134,1,"lingual gyrus","LiG","right","occipital",1,15,2
135,1,"lingual gyrus","LiG","left","occipital",1,15,2
136,1,"lateral orbital gyrus","LOrG","right","frontal",1,16,2
137,1,"lateral orbital gyrus","LOrG","left","frontal",1,16,2
138,1,"middle cingulate gyrus","MGgG","right","limbic",1,17,2
139,1,"middle cingulate gyrus","MGgG","left","limbic",1,17,2
140,1,"medial frontal cortex","MFC","right","frontal",1,18,2
141,1,"medial frontal cortex","MFC","left","frontal",1,18,2
142,1,"middle frontal gyrus","MFG","right","frontal",1,19,2
143,1,"middle frontal gyrus","MFG","left","frontal",1,19,2
144,1,"middle occipital gyrus","MOG","right","occipital",1,20,2
145,1,"middle occipital gyrus","MOG","left","occipital",1,20,2
146,1,"medial orbital gyrus","MOrG","right","frontal",1,21,2
147,1,"medial orbital gyrus","MOrG","left","frontal",1,21,2
148,1,"postcentral gyrus medial segment","MPoG","right","parietal",1,22,2
149,1,"postcentral gyrus medial segment","MPoG","left","parietal",1,22,2
150,1,"precentral gyrus medial segment","MPrG","right","frontal",1,23,2
151,1,"precentral gyrus medial segment","MPrG","left","frontal",1,23,2
152,1,"superior frontal gyrus medial segment","MSFG","right","frontal",1,24,2
153,1,"superior frontal gyrus medial segment","MSFG","left","frontal",1,24,2
154,1,"middle temporal gyrus","MTG","right","temporal",1,25,2
155,1,"middle temporal gyrus","MTG","left","temporal",1,25,2
156,1,"occipital pole","OCP","right","occipital",1,26,2
157,1,"occipital pole","OCP","left","occipital",1,26,2
160,1,"occipital fusiform gyrus","OFuG","right","occipital",1,27,2
161,1,"occipital fusiform gyrus","OFuG","left","occipital",1,27,2
162,1,"opercular part of the inferior frontal gyrus","OpIFG","right","frontal",1,28,2
163,1,"opercular part of the inferior frontal gyrus","OpIFG","left","frontal",1,28,2
164,1,"orbital part of the inferior frontal gyrus","OrIFG","right","frontal",1,28,2
165,1,"orbital part of the inferior frontal gyrus","OrIFG","left","frontal",1,28,2
166,1,"posterior cingulate gyrus","PCgG","right","limbic",1,29,2
167,1,"posterior cingulate gyrus","PCgG","left","limbic",1,29,2
168,1,"precuneus","PCu","right","parietal",1,30,2
169,1,"precuneus","PCu","left","parietal",1,30,2
170,1,"parahippocampal gyrus","PHG","right","limbic",1,30,2
171,1,"parahippocampal gyrus","PHG","left","limbic",1,31,2
172,1,"posterior insula","Plns","right","insular",1,2,2
173,1,"posterior insula","Plns","left","insular",1,2,2
174,1,"parietal operculum","PO","right","parietal",1,32,2
175,1,"parietal operculum","PO","left","parietal",1,32,2
176,1,"postcentral gyrus","PoG","right","parietal",1,22,2
177,1,"postcentral gyrus","PoG","left","parietal",1,22,2
178,1,"posterior orbital gyrus","POrG","right","frontal",1,33,2
179,1,"posterior orbital gyrus","POrG","left","frontal",1,33,2
180,1,"planum polare","PP","right","frontal",1,34,2
